experiment,blocks,threads,input_size,cpu_time,gpu_time,speedup
experiment1,4,500,1000000,0.003279,0.002958,1.108519
experiment1,8,500,1000000,0.003285,0.002703,1.215316
experiment1,16,500,1000000,0.003285,0.002600,1.263461
experiment1,4,250,1000000,0.003291,0.003115,1.056500
experiment1,8,250,1000000,0.003286,0.002850,1.152982
experiment1,16,250,1000000,0.003287,0.002779,1.182799
experiment2,8,500,100,0.000002,0.000503,.003976
experiment2,8,500,1000,0.000005,0.000518,.009652
experiment2,8,500,10000,0.000034,0.000585,.058119
experiment2,8,500,100000,0.000335,0.000915,.366120
experiment2,8,500,1000000,0.003291,0.002750,1.196727
experiment2,8,500,10000000,0.033019,0.019949,1.655170
experiment2,8,500,100000000,0.330456,0.174408,1.894729
